superblock,block,condition,sounddir,audioo,audioTarget,visuall,visualTarget,showprompt
1,5,VISUAL,letter,3,,2,,1
1,5,VISUAL,letter,5,,5,,1
1,5,VISUAL,letter,3,,1,,1
1,5,VISUAL,letter,4,,5,1,1
1,5,VISUAL,letter,2,,2,,1
1,5,VISUAL,letter,6,,4,,1
1,5,VISUAL,letter,2,,6,,1
1,5,VISUAL,letter,5,,3,,1
1,5,VISUAL,letter,4,,1,,1
1,5,VISUAL,letter,6,,4,,1
1,5,VISUAL,letter,3,,5,,1
1,5,VISUAL,letter,1,,4,1,1
1,5,VISUAL,letter,2,,3,,1
1,5,VISUAL,letter,1,,6,,1
1,5,VISUAL,letter,6,,1,,1
1,5,VISUAL,letter,5,,6,1,1
1,5,VISUAL,letter,4,,3,,1
1,5,VISUAL,letter,1,,2,,1
1,3,REST,rest,0,,rest,,0
1,3,REST,rest,0,,rest,,0
1,3,REST,rest,0,,rest,,0
1,3,REST,rest,0,,rest,,0
1,3,REST,rest,0,,rest,,0
1,3,REST,rest,0,,rest,,0
1,3,REST,rest,0,,rest,,0
1,3,REST,rest,0,,rest,,0
1,3,REST,rest,0,,rest,,0
2,2,AUDIO,letter,3,,2,,1
2,2,AUDIO,letter,1,,4,,1
2,2,AUDIO,letter,5,,1,,1
2,2,AUDIO,letter,1,1,4,,1
2,2,AUDIO,letter,3,,2,,1
2,2,AUDIO,letter,2,,3,,1
2,2,AUDIO,letter,6,,1,,1
2,2,AUDIO,letter,4,,3,,1
2,2,AUDIO,letter,6,1,6,,1
2,2,AUDIO,letter,5,,4,,1
2,2,AUDIO,letter,1,,5,,1
2,2,AUDIO,letter,4,,2,,1
2,2,AUDIO,letter,2,,5,,1
2,2,AUDIO,letter,5,,6,,1
2,2,AUDIO,letter,2,1,3,,1
2,2,AUDIO,letter,6,,1,,1
2,2,AUDIO,letter,4,,5,,1
2,2,AUDIO,letter,3,,6,,1
2,3,REST,rest,0,,rest,,0
2,3,REST,rest,0,,rest,,0
2,3,REST,rest,0,,rest,,0
2,3,REST,rest,0,,rest,,0
2,3,REST,rest,0,,rest,,0
2,3,REST,rest,0,,rest,,0
2,3,REST,rest,0,,rest,,0
2,3,REST,rest,0,,rest,,0
2,3,REST,rest,0,,rest,,0
3,2,AUDIO-VISUAL,letter,2,,2,,1
3,2,AUDIO-VISUAL,letter,3,,3,,1
3,2,AUDIO-VISUAL,letter,1,,2,1,1
3,2,AUDIO-VISUAL,letter,4,,4,,1
3,2,AUDIO-VISUAL,letter,5,,1,,1
3,2,AUDIO-VISUAL,letter,6,,5,,1
3,2,AUDIO-VISUAL,letter,1,,3,,1
3,2,AUDIO-VISUAL,letter,6,1,4,,1
3,2,AUDIO-VISUAL,letter,3,,2,,1
3,2,AUDIO-VISUAL,letter,4,,6,,1
3,2,AUDIO-VISUAL,letter,2,,5,,1
3,2,AUDIO-VISUAL,letter,4,1,6,1,1
3,2,AUDIO-VISUAL,letter,3,,4,,1
3,2,AUDIO-VISUAL,letter,5,,1,,1
3,2,AUDIO-VISUAL,letter,2,,5,,1
3,2,AUDIO-VISUAL,letter,5,1,1,1,1
3,2,AUDIO-VISUAL,letter,6,,3,,1
3,2,AUDIO-VISUAL,letter,1,,6,,1
3,3,REST,rest,0,,rest,,0
3,3,REST,rest,0,,rest,,0
3,3,REST,rest,0,,rest,,0
3,3,REST,rest,0,,rest,,0
3,3,REST,rest,0,,rest,,0
3,3,REST,rest,0,,rest,,0
3,3,REST,rest,0,,rest,,0
3,3,REST,rest,0,,rest,,0
3,3,REST,rest,0,,rest,,0
4,2,AUDIO,letter,1,,6,,1
4,2,AUDIO,letter,6,,2,,1
4,2,AUDIO,letter,5,,6,,1
4,2,AUDIO,letter,2,,1,,1
4,2,AUDIO,letter,5,1,3,,1
4,2,AUDIO,letter,1,,2,,1
4,2,AUDIO,letter,3,,5,,1
4,2,AUDIO,letter,4,,1,,1
4,2,AUDIO,letter,2,,4,,1
4,2,AUDIO,letter,4,1,3,,1
4,2,AUDIO,letter,1,,4,,1
4,2,AUDIO,letter,3,,6,,1
4,2,AUDIO,letter,6,,1,,1
4,2,AUDIO,letter,4,,5,,1
4,2,AUDIO,letter,6,1,2,,1
4,2,AUDIO,letter,5,,5,,1
4,2,AUDIO,letter,2,,3,,1
4,2,AUDIO,letter,3,,4,,1
4,3,REST,rest,0,,rest,,0
4,3,REST,rest,0,,rest,,0
4,3,REST,rest,0,,rest,,0
4,3,REST,rest,0,,rest,,0
4,3,REST,rest,0,,rest,,0
4,3,REST,rest,0,,rest,,0
4,3,REST,rest,0,,rest,,0
4,3,REST,rest,0,,rest,,0
4,3,REST,rest,0,,rest,,0
5,5,VISUAL,letter,6,,6,,1
5,5,VISUAL,letter,3,,5,,1
5,5,VISUAL,letter,2,,6,1,1
5,5,VISUAL,letter,3,,3,,1
5,5,VISUAL,letter,1,,1,,1
5,5,VISUAL,letter,5,,5,,1
5,5,VISUAL,letter,6,,1,1,1
5,5,VISUAL,letter,2,,3,,1
5,5,VISUAL,letter,4,,4,,1
5,5,VISUAL,letter,5,,5,,1
5,5,VISUAL,letter,1,,2,,1
5,5,VISUAL,letter,5,,1,,1
5,5,VISUAL,letter,2,,2,1,1
5,5,VISUAL,letter,4,,4,,1
5,5,VISUAL,letter,1,,3,,1
5,5,VISUAL,letter,4,,6,,1
5,5,VISUAL,letter,6,,2,,1
5,5,VISUAL,letter,3,,4,,1
5,3,REST,rest,0,,rest,,0
5,3,REST,rest,0,,rest,,0
5,3,REST,rest,0,,rest,,0
5,3,REST,rest,0,,rest,,0
5,3,REST,rest,0,,rest,,0
5,3,REST,rest,0,,rest,,0
5,3,REST,rest,0,,rest,,0
5,3,REST,rest,0,,rest,,0
5,3,REST,rest,0,,rest,,0
6,5,AUDIO-VISUAL,letter,1,,2,,1
6,5,AUDIO-VISUAL,letter,5,,5,,1
6,5,AUDIO-VISUAL,letter,6,,6,,1
6,5,AUDIO-VISUAL,letter,5,1,3,,1
6,5,AUDIO-VISUAL,letter,2,,4,,1
6,5,AUDIO-VISUAL,letter,3,,3,1,1
6,5,AUDIO-VISUAL,letter,4,,2,,1
6,5,AUDIO-VISUAL,letter,3,1,1,,1
6,5,AUDIO-VISUAL,letter,6,,6,,1
6,5,AUDIO-VISUAL,letter,5,,4,,1
6,5,AUDIO-VISUAL,letter,1,,2,,1
6,5,AUDIO-VISUAL,letter,2,,4,1,1
6,5,AUDIO-VISUAL,letter,4,,1,,1
6,5,AUDIO-VISUAL,letter,3,,5,,1
6,5,AUDIO-VISUAL,letter,4,1,6,,1
6,5,AUDIO-VISUAL,letter,1,,5,1,1
6,5,AUDIO-VISUAL,letter,6,,1,,1
6,5,AUDIO-VISUAL,letter,2,,3,,1
6,3,REST,rest,0,,rest,,0
6,3,REST,rest,0,,rest,,0
6,3,REST,rest,0,,rest,,0
6,3,REST,rest,0,,rest,,0
6,3,REST,rest,0,,rest,,0
6,3,REST,rest,0,,rest,,0
6,3,REST,rest,0,,rest,,0
6,3,REST,rest,0,,rest,,0
6,3,REST,rest,0,,rest,,0
7,1,AUDIO-VISUAL,letter,2,,5,,1
7,1,AUDIO-VISUAL,letter,3,,2,,1
7,1,AUDIO-VISUAL,letter,2,1,6,,1
7,1,AUDIO-VISUAL,letter,4,,1,,1
7,1,AUDIO-VISUAL,letter,6,,6,1,1
7,1,AUDIO-VISUAL,letter,5,,3,,1
7,1,AUDIO-VISUAL,letter,6,1,4,,1
7,1,AUDIO-VISUAL,letter,3,,1,,1
7,1,AUDIO-VISUAL,letter,2,,4,1,1
7,1,AUDIO-VISUAL,letter,5,,2,,1
7,1,AUDIO-VISUAL,letter,1,,6,,1
7,1,AUDIO-VISUAL,letter,3,,3,,1
7,1,AUDIO-VISUAL,letter,1,1,4,,1
7,1,AUDIO-VISUAL,letter,4,,5,,1
7,1,AUDIO-VISUAL,letter,5,,1,,1
7,1,AUDIO-VISUAL,letter,6,,5,1,1
7,1,AUDIO-VISUAL,letter,1,,2,,1
7,1,AUDIO-VISUAL,letter,4,,3,,1
7,3,REST,rest,0,,rest,,0
7,3,REST,rest,0,,rest,,0
7,3,REST,rest,0,,rest,,0
7,3,REST,rest,0,,rest,,0
7,3,REST,rest,0,,rest,,0
7,3,REST,rest,0,,rest,,0
7,3,REST,rest,0,,rest,,0
7,3,REST,rest,0,,rest,,0
7,3,REST,rest,0,,rest,,0
8,1,VISUAL,letter,4,,5,,1
8,1,VISUAL,letter,2,,2,,1
8,1,VISUAL,letter,4,,6,,1
8,1,VISUAL,letter,1,,4,,1
8,1,VISUAL,letter,6,,3,,1
8,1,VISUAL,letter,3,,1,,1
8,1,VISUAL,letter,6,,3,1,1
8,1,VISUAL,letter,4,,6,,1
8,1,VISUAL,letter,1,,4,,1
8,1,VISUAL,letter,3,,1,,1
8,1,VISUAL,letter,2,,4,1,1
8,1,VISUAL,letter,5,,2,,1
8,1,VISUAL,letter,6,,5,,1
8,1,VISUAL,letter,5,,1,,1
8,1,VISUAL,letter,3,,5,1,1
8,1,VISUAL,letter,2,,6,,1
8,1,VISUAL,letter,1,,2,,1
8,1,VISUAL,letter,5,,3,,1
8,3,REST,rest,0,,rest,,0
8,3,REST,rest,0,,rest,,0
8,3,REST,rest,0,,rest,,0
8,3,REST,rest,0,,rest,,0
8,3,REST,rest,0,,rest,,0
8,3,REST,rest,0,,rest,,0
8,3,REST,rest,0,,rest,,0
8,3,REST,rest,0,,rest,,0
8,3,REST,rest,0,,rest,,0
9,1,AUDIO,letter,5,,1,,1
9,1,AUDIO,letter,2,,3,,1
9,1,AUDIO,letter,5,1,6,,1
9,1,AUDIO,letter,4,,3,,1
9,1,AUDIO,letter,1,,5,,1
9,1,AUDIO,letter,3,,4,,1
9,1,AUDIO,letter,6,,2,,1
9,1,AUDIO,letter,3,1,6,,1
9,1,AUDIO,letter,2,,2,,1
9,1,AUDIO,letter,4,,5,,1
9,1,AUDIO,letter,6,,3,,1
9,1,AUDIO,letter,4,1,1,,1
9,1,AUDIO,letter,3,,4,,1
9,1,AUDIO,letter,1,,1,,1
9,1,AUDIO,letter,2,,2,,1
9,1,AUDIO,letter,5,,5,,1
9,1,AUDIO,letter,6,,6,,1
9,1,AUDIO,letter,1,,4,,1
9,3,REST,rest,0,,rest,,0
9,3,REST,rest,0,,rest,,0
9,3,REST,rest,0,,rest,,0
9,3,REST,rest,0,,rest,,0
9,3,REST,rest,0,,rest,,0
9,3,REST,rest,0,,rest,,0
9,3,REST,rest,0,,rest,,0
9,3,REST,rest,0,,rest,,0
9,3,REST,rest,0,,rest,,0
10,2,AUDIO,letter,3,,4,,1
10,2,AUDIO,letter,5,,3,,1
10,2,AUDIO,letter,3,1,1,,1
10,2,AUDIO,letter,6,,5,,1
10,2,AUDIO,letter,1,,1,,1
10,2,AUDIO,letter,4,,4,,1
10,2,AUDIO,letter,1,1,3,,1
10,2,AUDIO,letter,6,,6,,1
10,2,AUDIO,letter,5,,5,,1
10,2,AUDIO,letter,3,,6,,1
10,2,AUDIO,letter,1,,1,,1
10,2,AUDIO,letter,2,,2,,1
10,2,AUDIO,letter,4,,5,,1
10,2,AUDIO,letter,2,1,2,,1
10,2,AUDIO,letter,6,,4,,1
10,2,AUDIO,letter,5,,6,,1
10,2,AUDIO,letter,4,,3,,1
10,2,AUDIO,letter,2,,2,,1
10,3,REST,rest,0,,rest,,0
10,3,REST,rest,0,,rest,,0
10,3,REST,rest,0,,rest,,0
10,3,REST,rest,0,,rest,,0
10,3,REST,rest,0,,rest,,0
10,3,REST,rest,0,,rest,,0
10,3,REST,rest,0,,rest,,0
10,3,REST,rest,0,,rest,,0
10,3,REST,rest,0,,rest,,0
11,5,VISUAL,letter,3,,1,,1
11,5,VISUAL,letter,2,,6,,1
11,5,VISUAL,letter,4,,1,1,1
11,5,VISUAL,letter,1,,5,,1
11,5,VISUAL,letter,5,,4,,1
11,5,VISUAL,letter,1,,2,,1
11,5,VISUAL,letter,3,,1,,1
11,5,VISUAL,letter,4,,2,1,1
11,5,VISUAL,letter,6,,5,,1
11,5,VISUAL,letter,5,,4,,1
11,5,VISUAL,letter,6,,6,,1
11,5,VISUAL,letter,3,,3,,1
11,5,VISUAL,letter,2,,5,,1
11,5,VISUAL,letter,5,,3,1,1
11,5,VISUAL,letter,2,,2,,1
11,5,VISUAL,letter,6,,4,,1
11,5,VISUAL,letter,1,,6,,1
11,5,VISUAL,letter,4,,3,,1
11,3,REST,rest,0,,rest,,0
11,3,REST,rest,0,,rest,,0
11,3,REST,rest,0,,rest,,0
11,3,REST,rest,0,,rest,,0
11,3,REST,rest,0,,rest,,0
11,3,REST,rest,0,,rest,,0
11,3,REST,rest,0,,rest,,0
11,3,REST,rest,0,,rest,,0
11,3,REST,rest,0,,rest,,0
12,1,AUDIO-VISUAL,letter,3,,1,,1
12,1,AUDIO-VISUAL,letter,6,,3,,1
12,1,AUDIO-VISUAL,letter,2,,2,,1
12,1,AUDIO-VISUAL,letter,5,,5,,1
12,1,AUDIO-VISUAL,letter,4,,2,1,1
12,1,AUDIO-VISUAL,letter,1,,6,,1
12,1,AUDIO-VISUAL,letter,6,,4,,1
12,1,AUDIO-VISUAL,letter,1,1,1,,1
12,1,AUDIO-VISUAL,letter,4,,5,,1
12,1,AUDIO-VISUAL,letter,2,,1,1,1
12,1,AUDIO-VISUAL,letter,5,,4,,1
12,1,AUDIO-VISUAL,letter,2,1,6,,1
12,1,AUDIO-VISUAL,letter,1,,3,,1
12,1,AUDIO-VISUAL,letter,3,,5,,1
12,1,AUDIO-VISUAL,letter,6,,3,1,1
12,1,AUDIO-VISUAL,letter,3,1,6,,1
12,1,AUDIO-VISUAL,letter,4,,4,,1
12,1,AUDIO-VISUAL,letter,5,,2,,1
